epoch,train_loss,validation_loss,train_ci,validation_ci,train_mse,validation_mse,train_mae,validation_mae,lr
1,1.558248061894006,0.29575609694190574,0.5023655019356557,0.5643304905791262,6.08375883102417,0.6926047205924988,1.7814013957977295,0.426055371761322,5e-05
2,0.4582137254980109,0.2875696265759929,0.513945924298794,0.6682246982974078,0.9500632286071777,0.6154075264930725,0.6575201153755188,0.46176064014434814,5e-05
3,0.4395675507963655,0.28456232198620657,0.5347968402624663,0.6863077264427148,0.9099934697151184,0.5823389887809753,0.6367924809455872,0.46239277720451355,5e-05
4,0.42569013912838394,0.2746145155340098,0.5570723105258266,0.702441036653167,0.8703907132148743,0.5593034029006958,0.6211800575256348,0.4287569224834442,5e-05
5,0.417852554380859,0.26491751243404793,0.5742295157526147,0.7229003233802932,0.8474609851837158,0.536388635635376,0.6122011542320251,0.39927175641059875,5e-05
6,0.4006316175734655,0.28164868285755895,0.601661157166998,0.7139276678874188,0.7973687648773193,0.4918293058872223,0.5936313271522522,0.47972267866134644,5e-05
7,0.39726842746081475,0.26208442054055764,0.6048286429610078,0.7241888714333806,0.7843065857887268,0.5471758246421814,0.5905728340148926,0.39145368337631226,5e-05
8,0.39005091025787164,0.2538991120951463,0.6119549734962327,0.7372911289746702,0.7703964710235596,0.4901796281337738,0.5819407105445862,0.4127333164215088,5e-05
