train_loss,validation_loss,train_acc,validation_acc,train_mse,validation_mse,train_mae,validation_mae
2466.057043515648,2250.0596600296794,"tensor(0.0010, device='cuda:0')","tensor(0.0004, device='cuda:0')",16721238.479507202,16145545.89057043,2466.3070037274874,2250.3096600296794
2469.4371393783517,2254.365457104767,"tensor(0.0010, device='cuda:0')","tensor(0., device='cuda:0')",16758862.629407771,16203403.78967792,2469.6871158843906,2254.615457104767
2473.9308966929784,2253.043007308492,"tensor(0.0009, device='cuda:0')","tensor(0.0004, device='cuda:0')",16803791.935053598,16144074.440046566,2474.1808622099065,2253.292970928981
2464.5436393581263,2264.6585336669636,"tensor(0.0007, device='cuda:0')","tensor(0.0004, device='cuda:0')",16731975.631857205,16327625.456732634,2464.7936052539885,2264.9085276037117
2462.177440901793,2237.1937369071657,"tensor(0.0009, device='cuda:0')","tensor(0., device='cuda:0')",16807216.071882427,16454789.046177726,2462.42739542961,2237.4437369071657
2469.3477113258136,2253.8367281859355,"tensor(0.0013, device='cuda:0')","tensor(0.0004, device='cuda:0')",16856574.771547753,16334209.36903376,2469.5976741901973,2254.086691806425
2465.217303445778,2260.5259417177494,"tensor(0.0007, device='cuda:0')","tensor(0.0004, device='cuda:0')",16859572.156715333,16377936.05355064,2465.4672716152495,2260.7759417177494
2459.0094927445343,2246.011249795365,"tensor(0.0008, device='cuda:0')","tensor(0., device='cuda:0')",16689659.630693117,16232483.093519596,2459.259470008443,2246.261249795365
2465.595572203006,2247.7402877126688,"tensor(0.0006, device='cuda:0')","tensor(0.0004, device='cuda:0')",16770654.109909298,16422324.979433449,2465.8455464354356,2247.9902877126688
2468.385454145199,2255.586082544353,"tensor(0.0012, device='cuda:0')","tensor(0., device='cuda:0')",16922274.120519474,16449741.83313931,2468.6354124623645,2255.836082544353
